"","Date","Q","Rain","T","ETP_dint","peff"
"2388",2016-02-14,0.07203125,0,2.74583333333333,0.618021286148275,0
"2389",2016-02-15,0.0543854166666667,0.5,2.89583333333333,0.627125023955791,0
"2390",2016-02-16,0.295010416666667,22.9,6.63333333333333,0.637385718826319,22.2626142811737
"2391",2016-02-17,0.344947916666667,0.5,3.59583333333333,0.648739645505087,0
"2392",2016-02-18,0.100239583333333,1.9,3.15833333333333,0.661101928866477,1.23889807113352
"2393",2016-02-19,0.118104166666667,8.4,6.6875,0.674387693784873,7.72561230621513
"2394",2016-02-20,0.201208333333333,9.3,6.9375,0.688512065134658,8.61148793486534
"2395",2016-02-21,0.5625,4.1,6.55416666666667,0.703390167790216,3.39660983220978
"2396",2016-02-22,0.259291666666667,2.7,5.7125,0.718937126625929,1.98106287337407
"2397",2016-02-23,0.144885416666667,0.4,3.12916666666667,0.735068066516183,0
"2398",2016-02-24,0.0803125,0,2.36666666666667,0.751698112335358,0
"2399",2016-02-25,0.060875,1.1,2.85833333333333,0.76874238895784,0.33125761104216
"2400",2016-02-26,0.0535625,1.8,3.89583333333333,0.786116021258011,1.01388397874199
"2401",2016-02-27,0.052125,0,3.53333333333333,0.803734134110254,0
"2402",2016-02-28,0.0473645833333333,7.5,3.05833333333333,0.821511852388954,6.67848814761105
"2403",2016-02-29,0.306416666666667,20.3,6.15833333333333,0.839364300968492,19.4606356990315
"2404",2016-03-01,0.845989583333333,14.2,7.4375,0.857206604723254,13.3427933952767
"2405",2016-03-02,NA,2.9,5.925,0.874953888527621,2.02504611147238
"2406",2016-03-07,NA,5.7,5.12083333333333,0.959294378896962,4.74070562110304
"2407",2016-03-08,0.146302083333333,7.1,6.34166666666667,0.974689165361014,6.12531083463899
"2408",2016-03-09,0.26809375,1.1,6.25416666666667,0.989394805995356,0.110605194004644
"2409",2016-03-10,0.105197916666667,1,8.59583333333333,1.00332642567437,0
"2410",2016-03-11,0.113802083333333,5.1,10.5083333333333,1.01639914927244,4.08360085072756
"2411",2016-03-12,0.176010416666667,0.4,11.0666666666667,1.02852810166395,0
"2412",2016-03-13,0.0938541666666667,0,10.2666666666667,1.03962840772328,0
"2413",2016-03-14,0.0579479166666667,0,8.04166666666667,1.04961519232482,0
"2414",2016-03-15,0.0447395833333333,0,7.95416666666667,1.05840358034295,0
"2415",2016-03-16,0.0378333333333333,0,8.37083333333333,1.06594175163389,0
"2416",2016-03-17,0.0331770833333333,0,6.28333333333333,1.07231010598127,0
"2417",2016-03-18,0.02928125,0,4.7375,1.07762209815054,0
"2418",2016-03-19,0.0263333333333333,0,6.82916666666667,1.08199118290717,0
"2419",2016-03-20,0.0252395833333333,0,6.7375,1.08553081501661,0
"2420",2016-03-21,0.0232916666666667,0,7.46666666666667,1.08835444924432,0
