"","Date","Qinit","bf1"
"1",2009-04-30,0.147315789473684,0.147315789473684
"2",2009-05-01,0.101729166666667,0.101729166666667
"3",2009-05-02,0.0709791666666667,0.0709791666666667
"4",2009-05-03,0.08834375,0.0681048387096774
"5",2009-05-04,0.40103125,0.0755490049427679
"6",2009-05-05,0.7945,0.0950853755118996
"7",2009-05-06,0.784072916666667,0.112709874798574
"8",2009-05-07,0.243677083333333,0.1114809198417
"9",2009-05-08,0.310197916666667,0.112496907488875
"10",2009-05-09,0.250114583333333,0.111492788605363
"11",2009-05-10,0.122697916666667,0.106459431997404
"12",2009-05-11,0.06265625,0.06265625
"13",2009-05-12,0.0461354166666667,0.0461354166666667
"14",2009-05-13,0.03871875,0.03871875
"15",2009-05-14,0.0326041666666667,0.0326041666666667
"16",2009-05-15,0.0601666666666667,0.0319156586021505
"17",2009-05-16,0.0774583333333333,0.0318404710804717
"18",2009-05-17,0.0674375,0.0314480943804337
"19",2009-05-18,0.12609375,0.032979498059431
"20",2009-05-19,0.0959791666666667,0.0334159632696919
"21",2009-05-20,0.14509375,0.0354015710705232
"22",2009-05-21,0.0712083333333333,0.0348436486723627
"23",2009-05-22,0.0691666666666667,0.0342648598009356
"24",2009-05-23,0.196104166666667,0.037827505515914
"25",2009-05-24,0.10375,0.0381236744259209
"26",2009-05-25,0.0728125,0.0373979748754434
"27",2009-05-26,0.0768541666666667,0.0368611758263485
"28",2009-05-27,0.145708333333333,0.038588769173686
"29",2009-05-28,0.228739583333333,0.0428554678962382
"30",2009-05-29,0.0731354166666667,0.0417585887648211
"31",2009-05-30,0.0473125,0.0399171703160452
"32",2009-05-31,0.03809375,0.0379268743228158
"33",2009-06-01,0.03225,0.03225
"34",2009-06-02,0.0275416666666667,0.0275416666666667
"35",2009-06-03,0.0246770833333333,0.0246770833333333
"36",2009-06-04,0.0227083333333333,0.0227083333333333
"37",2009-06-05,0.02134375,0.02134375
"38",2009-06-06,0.0202291666666667,0.0202291666666667
"39",2009-06-07,0.01846875,0.01846875
"40",2009-06-08,0.018,0.0175599798387097
"41",2009-06-09,0.0172395833333333,0.01669996802376
"42",2009-06-10,0.0163541666666667,0.0158807501723815
"43",2009-06-11,0.0154166666666667,0.0150973563412754
"44",2009-06-12,0.0141145833333333,0.0141145833333333
"45",2009-06-13,0.0129375,0.0129375
"46",2009-06-14,0.0231354166666667,0.0126404569892473
"47",2009-06-15,0.025125,0.0124315491675338
"48",2009-06-16,0.0153854166666667,0.0119253086432703
"49",2009-06-17,0.135354166666667,0.0153298536451571
"50",2009-06-18,0.0503854166666667,0.0157189111468918
"51",2009-06-19,0.0924166666666667,0.0174324398178414
"52",2009-06-20,0.1075,0.0194943398325316
"53",2009-06-21,0.0550208333333333,0.0196970812438866
"54",2009-06-22,0.0388020833333333,0.0193602870575516
"55",2009-06-23,0.0305104166666667,0.0187831805744157
"56",2009-06-24,0.0243229166666667,0.0180530181625005
"57",2009-06-25,0.02096875,0.0172735408913311
"58",2009-06-26,0.0188229166666667,0.0164877042603098
"59",2009-06-27,0.0173645833333333,0.0157181985403923
"60",2009-06-28,0.01615625,0.0149717712387478
"61",2009-06-29,0.0154479166666667,0.0142626902248703
"62",2009-06-30,0.01434375,0.0135751748841549
"63",2009-07-01,0.0140208333333333,0.0129326876623145
"64",2009-07-02,0.05803125,0.0137617047863214
"65",2009-07-03,0.4204375,0.0262143898841987
"66",2009-07-04,0.124604166666667,0.0281198154311719
"67",2009-07-05,0.151135416666667,0.0307274244017763
"68",2009-07-06,0.159541666666667,0.033395911681203
"69",2009-07-07,0.073625,0.033077692997235
"70",2009-07-08,0.0470416666666667,0.0319276102286408
"71",2009-07-09,0.0358854166666667,0.030510397038159
"72",2009-07-10,0.02959375,0.0290045182447591
"73",2009-07-11,0.02496875,0.02496875
"74",2009-07-12,0.0246041666666667,0.0237488239247312
"75",2009-07-13,0.0233541666666667,0.0225869564039195
"76",2009-07-14,0.05675,0.0225960728229583
"77",2009-07-15,0.096125,0.0238746153372358
"78",2009-07-16,0.0411666666666667,0.0232772001218674
"79",2009-07-17,0.0317083333333333,0.0224228560260178
"80",2009-07-18,0.203614583333333,0.0271827735508013
"81",2009-07-19,0.0951354166666667,0.0280594988020808
"82",2009-07-20,0.0465833333333333,0.0272993241675044
"83",2009-07-21,0.111229166666667,0.0286858034013078
"84",2009-07-22,0.1448125,0.0310438031270088
"85",2009-07-23,0.36775,0.0404031738425726
"86",2009-07-24,0.256958333333333,0.0454338318660211
"87",2009-07-25,0.0685833333333333,0.0439821787585462
"88",2009-07-26,0.137333333333333,0.0448653363855452
"89",2009-07-27,0.12378125,0.0452401076447754
"90",2009-07-28,0.0727708333333333,0.0439391581035301
"91",2009-07-29,0.0714375,0.0427001130951809
"92",2009-07-30,0.05003125,0.0408704668778276
"93",2009-07-31,0.04065625,0.0388859534199383
"94",2009-08-01,0.441604166666667,0.0499952851333841
"95",2009-08-02,0.28159375,0.0550470766548854
"96",2009-08-03,0.104583333333333,0.0539814521934699
"97",2009-08-04,0.0939895833333333,0.0526600313176524
"98",2009-08-05,0.05875,0.0503084158888095
"99",2009-08-06,0.0411770833333333,0.0411770833333333
"100",2009-08-07,0.0336041666666667,0.0336041666666667
"101",2009-08-08,0.02875,0.02875
"102",2009-08-09,0.0249791666666667,0.0249791666666667
"103",2009-08-10,0.0664791666666667,0.0251092069892473
"104",2009-08-11,0.0695729166666667,0.025328558576136
"105",2009-08-12,0.0868125,0.0260863361103186
"106",2009-08-13,0.0490625,0.0255652606175509
